,type,event_timex,tlink_label
10,gold,"jakks pacific rose 1 *end* 57 after winning a crucial,before
11,gold,and bonds rallied on his bond's price rose nearly 1,unspecified
12,gold,more volatility lies ahead *end* investors should watch out *end*,unrealized
13,gold,is being eroded *end* *end* *start* since 1976 annual gdp,unspecified
14,gold,nzx-50 was up 0 *end* index was down 0 *end*,overlap
15,gold,81 cents late friday in new the euro slid to 99,unspecified
16,gold,*start* *start* yesterday *end* *end* *start*  saw its index,overlap
17,gold,the euro slid to 99 36 yen late friday *end* *end*,overlap
18,gold,michelle obama sent a congratulatory andrew cuomo gushed *end* *end*,unspecified
19,gold,*start* *start* earlier this month an ad an ad appeared in this,overlap
20,gold,intel is up 146% *end* microsoft has doubled *end* *end*,overlap
21,gold,composite index fell about 160 industrial average rose about 62,overlap
22,gold,*start*  declined to 51 1% in december from 53,overlap
23,gold,*start* *start* today *end* *end* *start* doomsayers point to the,overlap
24,gold,company has proposed an initial the company earlier this year pegged its,unspecified
25,gold,record levels reached in the reached in the fall of 1982 *end* *end*,unspecified
26,gold,*start*  introduced with much fanfare just two years ago *end* *end*,overlap
27,gold,financial markets closed for the closed for the easter holiday and little,overlap
28,gold,investors recently poured in *end* news to trigger broadbased profit-taking,unspecified
29,gold,the president appeared at a *start*  conferred with mr,unspecified
30,gold,helped to propel european and stocks higher yesterday *end* *end*,overlap
31,gold,bond market led to a *start* prices swung in a,overlap
32,gold,index was down 0 *end* index was down 0 *end*,overlap
33,gold,dollars) in 1776 *end* *end* mankind took 30,000 years to get,unspecified
34,gold,*start* lucent posted strong quarterly profit was cut by the,overlap
35,gold,*start* on monday he called monday he called mr *end*,overlap
36,gold,murakami's fund rose *end* *end* *start* after falling sharply on,before
37,gold,to be seen --although japanese have now turned positive *end*,unrealized
38,gold,lower growth over the next five years *end* *end* *start*  dampened sentiment *end*,unspecified
39,gold,most investors said the effect some also said they want,unspecified
40,gold,bernanke hasn't cut the fed's it could alter investors' expectations,unrealized
41,gold,*start*  dampened sentiment *end* average was off 0 *end*,unspecified
42,gold,*start* on aug. 17 *end* *end* the fed cut the interest,overlap
43,gold,the market treaded water *end* corporate profits grew quickly *end*,overlap
44,gold,average was off 0 *end* 200 was down 0 *end*,overlap
45,gold,*start* *start* late monday *end* *end* was at 105.79 yen *end* *end*,overlap
46,gold,*start* but today the american is being eroded *end* *end*,overlap
47,gold,domestic product grew to $28 540 in 1996 from just,overlap
48,gold,rate and lengthened the term action was aimed at restoring,overlap
49,gold,small stocks fell as mounting economic worries pulled the plug,overlap
50,gold,*start* in the past 12 months *end* *end* more than quadrupled *end* *end*,overlap
51,gold,and would step away from *start* *start* yesterday *end* *end*,unspecified
52,gold,new yorkers elected bill de as mayor last year *end* *end*,overlap
53,gold,*start*  admitted yesterday that *start* admitted yesterday that he,unspecified
54,gold,the fed cut the interest rate and lengthened the term,overlap
55,gold,in force earlier this month to celebrate month to celebrate mr *end*,overlap
56,gold,off its feb. 26 high *end* *start* it closed friday at,unspecified
57,gold,month to celebrate mr *end* hillary clinton phoned in with,overlap
58,gold,china is targeting lower growth lower growth over the next five years *end* *end*,unrealized
59,gold,hillary clinton phoned in with michelle obama sent a congratulatory,overlap
60,gold,taxes now consume a whopping spending is higher than the,unspecified
61,gold,it was less than eight weeks ago that the industrial average reached a record,overlap
62,gold,years to reach $28 *end* *start* but today the american,unspecified
63,gold,*start*  said yesterday *end* *start* said yesterday *end* *end*,unspecified
64,gold,are for 1988 *end* *end* japan almost equaled france in,unspecified
65,gold,changed from 93.81 cents late friday 81 cents late friday in new,unspecified
66,gold,japanese stocks pulled back yesterday pulled back yesterday *end* *end*,overlap
67,gold,friday prompted profit-taking in pricey murakami's fund rose *end* *end*,unspecified
68,gold,small-capitalization stocks fell 7 *end* smallcap 600 shed 3 *end*,overlap
69,gold,videogame makers powered up after game unit agreed to a,before
70,gold,*start* it finished 2004 at it finished 2004 at 18,unspecified
71,gold,*start* it closed friday at it closed friday at 70,overlap
72,gold,they were yesterday *end* *end* composite index fell 25 *end*,unspecified
73,gold,*start* in april the president the president appeared at a,overlap
74,gold,*start* intel swooned 4 *end* *start*  tumbling $7 *end*,overlap
75,gold,its members reported a decline and employment in december *end* *end*,unspecified
76,gold,more than quadrupled *end* *end* intel is up 146% *end*,unspecified
77,gold,*start*  surpassed japan in are for 1988 *end* *end*,overlap
78,gold,reserve in 2005 *end* *end* *start* he promised to "maintain,overlap
79,gold,has steadily declined *end* *end* taxes now consume a whopping,unspecified
80,silver,continued to fall *end* *end* industrial economy slows in december,unspecified
81,silver,that approximately matched or exceeded matched or exceeded the 1987,unspecified
82,silver,operations are failing *end* *end* *start*  this month *end* *end*,unspecified
83,silver,selloff has seen year-to-date gains *start* gilts wiped out and,unspecified
84,silver,year and hold growth in in fiscal 1986 defense spending,unspecified
85,silver,and since the start of may *end* *end* have all cut rates--between them,overlap
86,silver,*start* it closed friday at has been firing on all,after
87,silver,not be asking senior citizens poor to tighten their belts,unrealized
88,silver,consumers have pulled back *end* "jakks pacific rose 1 *end*,unspecified
89,silver,*start* prices swung in a as investors geared up for,overlap
90,silver,president reagan endorsed the lower effort to win passage of,unrealized
91,silver,has been rehabilitated into the been particularly intense this year,unspecified
92,silver,*start* *start* today was mindless "today was mindless *end* *end*,overlap
93,silver,economy also slumped *end* *end* at roughly the same time as the,unspecified
94,silver,better buy today than they they were yesterday *end* *end*,before
95,silver,will become eligible for social *start* in march *end* *end*,unspecified
96,silver,-- norway offered the first issue since january to strong,before
97,silver,*start*  marked the largest bonds were launched in u,unspecified
98,silver,the constitution limited government and *start*  banned levies on,unspecified
99,silver,financial crisis expected to push is now entering a major,unspecified
100,silver,200 was down 0 *end* composite was off 1 *end*,overlap
101,silver,better buy today than they they were yesterday *end* *end*,unspecified
102,silver,*start* the rise in interest competitors have led consumers to,unspecified
103,silver,*start* reagan criticized the senate administration has agreed to more,unspecified
104,silver,reached in the fall of 1982 *end* *end* allowed to offer competing "money,unspecified
105,silver,you can't solve with lower tempting to believe otherwise *end*,unspecified
106,silver,*start* they disagree about next disagree about next year's outlook because,unrealized
107,silver,*start* you see there are *start* " says edward a,unspecified
108,silver,bond's price rose nearly 1 *start*  pushing the yield,after
109,silver,investors already own the stock this year pegged its own,unspecified
110,silver,*start* only last week *end* *end* *start* reagan criticized the senate,overlap
111,silver,some are asking if this a definitive turning point for the,unspecified
112,silver,in force earlier this month to celebrate *start* it turned out in,overlap
113,silver,*start* payrolls growth of 165 april was better than expected,unspecified
114,silver,new yorkers elected bill de as mayor last year *end* *end*,unspecified
115,silver,sharpton in august about the *start* sharpton led protests against,overlap
116,silver,*start* lucent posted strong quarterly profit was cut by the,overlap
117,silver,interactive software rose $1 *end* going to tumble into a,unrealized
118,silver,rise in 1939 *end* *end* *start* investors snapped up commodities,unspecified
119,silver,murakami's fund rose *end* *end* *start* after falling sharply on,after
120,silver,$133 billion over that period *end* *end* that analysis omits the long-run,unspecified
121,silver,the fed cut the interest rate and lengthened the term,overlap
122,silver,*start*  played catch-up with while italy rose 0 *end*,overlap
123,silver,$670 billion over the next five years *end* *end* output would raise revenues by,unspecified
124,silver,finishing the year down 0 s&p 500 increased 13 *end*,unspecified
125,silver,off its feb. 26 high *end* *start*  losing just 7,after
126,silver,small fund several years ago *end* *end* *start* investors suffered a 6%,overlap
127,silver,vehicles has become a public-relations of a shift toward newer,unspecified
128,silver,they were yesterday *end* *end* lot better buy today than,before
129,silver,michelle obama sent a congratulatory andrew cuomo gushed *end* *end*,overlap
130,silver,$919 (in 1996 dollars) in dollars) in 1776 *end* *end*,unspecified
131,silver,drop further in coming months *end* *end* *start* the august decline followed,unspecified
132,silver,package assembled earlier in the week by the financial package assembled earlier in,overlap
133,silver,is now expected to expand expected to expand at a,unrealized
134,silver,which was closed monday and was closed monday and tuesday,unspecified
135,silver,stores on new year's eve *end* *end* *start* " says chairman marvin,unspecified
136,silver,in the fall of 1982 *end* *end* *start* shortly before banks were,after
137,silver,were so intertwined as to *start* he cut rates after,before
138,silver,out and turned to losses some are asking if this,unspecified
139,silver,was 49% during world war ii *end* *end* companies should lead in the,unspecified
140,silver,052 shares in late february *end* *end* *start*  fell to 3,unspecified
141,silver,imf is now ratcheting down is now ratcheting down its,overlap
142,silver,of its 109-year history *end* *start*  finishing the year,unspecified
143,silver,are all alike *end* *end* really big differences in risk,unspecified
144,silver,come to conclude is the they are negotiating at all,unspecified
145,silver,new-home sales dropping to a *start* 000 next year from his,unspecified
146,silver,tub thumper inflamed racial hatred has been rehabilitated into the,before
147,silver,america to see mr *end* the alarm felt by many,overlap
148,silver,at a low for the program have pushed yields sharply,before
149,silver,business invariably receives more than *start*  the start of 1988 is no,unspecified
150,silver,and switzerland slid 0 *end* financial package assembled earlier in,unspecified
151,silver,reuters estimates predict that earnings 6% in 2005 *end* *end*,before
152,silver,reporting period ended march 14 period ended march 14 *end* *end*,overlap
153,silver,news to trigger broadbased profit-taking *start* analysts said *end* *end*,before
154,silver,*start* *start* designed by some these investments use different strategies,after
155,silver,1% in august to a single-family homes fell 8 *end*,overlap
156,silver,would you pay $15 *end* us would consider the question,unspecified
157,silver,bolder types concluded *end* *end* had been repealed by tremendous,after
158,silver,*start* bernanke distinguishes between the *start* on aug. 17 *end* *end*,unspecified
159,silver,*start* for the first two centuries of our common man became better off,overlap
160,silver,"double witching" today *end* *end* *start*  said yesterday *end*,unspecified
161,silver,after its 30-year bull run its 30-year bull run *end* *end*,overlap
162,silver,wasn't even a money fund anymore *end* be principal losses in a,unspecified
163,silver,*start* it expects only a business activity rising about 2%,unspecified
164,silver,an ad appeared in this *start* for the first two centuries of our,unspecified
165,silver,3% in october *end* *end* "manufacturers are adjusting incentives in,unspecified
166,silver,*start* *start* comments on sunday comments on sunday from china's,unspecified
167,silver,strongest economic merits *end* *end* double tax raises long-term income,unspecified
168,silver,bond market led to a *start* prices swung in a,overlap
169,silver,monday he called mr *end* *start* in april the president,unspecified
170,silver,environmental groups gird for another are under way to work,overlap
171,silver,confirmation hearing thursday alongside two fed can provide over the,unspecified
172,silver,could get cheaper still *end* *start* in 2005 *end* *end*,unspecified
173,silver,is now entering a major financial markets since the 1930s *end* *end*,before
174,silver,growth as 1988 goes along slide will prove another exception,unspecified
175,silver,recovery to begin late next begin late next year *end* *end*,unspecified
176,silver,*start* " says lehman brothers *start* " get me into,unspecified
177,silver,investors initially sold technology stocks might be forced to split,unspecified
178,silver,*start* riedy forecast *end* *end* sales should total about 665,unrealized
179,silver,worse than the previous month *end* *end* *start*  declined to 51,before
180,silver,users can debate whether facebook investors are having a similar,overlap
181,silver,right and share the remaining treasury will walk away with,unspecified
182,silver,new yorkers now witnessing his yorkers now witnessing his emergence,overlap
183,silver,agreement] will increase market access world's 10th-largest economy *end* *end*,unspecified
184,silver,timothy geithner said the u the yuan appreciates "at a,overlap
185,silver,*start* which translates into $100 *start* in about 2 1/2 years *end* *end*,unspecified
186,silver,hero to zero in just in just 10 days *end* *end*,unspecified
187,silver,*start* " said mark riedy think we're near the bottom,unspecified
188,silver,*start* on may 2 *end* *end* program have pushed yields sharply,after
189,silver,*start*  surpassed japan in are for 1988 *end* *end*,overlap
190,silver,is now ratcheting down its the economy this year and into,unspecified
191,silver,*start*  finishing the year the market treaded water *end*,unspecified
192,silver,this parity compares the amount can be bought for a,unspecified
193,silver,saying that next year they "may home-sales activity depends on interest,unspecified
194,silver,fanfare just two years ago *end* *end* be a boon for retirees,unrealized
195,silver,discount wars ate up margins specialty stores siphoned sales *end*,overlap
196,silver,economic worries pulled the plug small-capitalization stocks fell 7 *end*,overlap
197,silver,*start* and load up on *start*  say the experts,unspecified
198,silver,which platform offers them a more conservative approach to pricing,unspecified
199,silver,*start* on monday he called monday he called mr *end*,overlap
200,silver,to genetically re-engineer cotton *end* corporations are sold using technobabble,unspecified
201,silver,*start*  the fourth quarter and the quarter and the year were a,unspecified
202,silver,century has witnessed only eight that approximately matched or exceeded,unspecified
203,silver,*start*  backed away from billion was restored to student,unspecified
204,silver,540 in 1996 from just dollars) in 1776 *end* *end*,after
205,silver,*start* said yesterday *end* *end* *start*  said yesterday *end*,overlap
206,silver,far "has been a good begin to slow down in,unspecified
207,silver,chairman said 1996 so far "has been a good year " for,overlap
208,silver,have broadly tracked treasurys *end* data yet suggest an economy,overlap
209,silver,one that invests in a other funds stick to the,unspecified
210,silver,more investors expect a downturn tend to boost the value,unspecified
211,silver,*start* sharpton in august about the *start* sharpton led protests against,overlap
212,silver,*start*  admitted yesterday that he had violated the country's,before
213,silver,*start*  losing just 7 off its feb. 26 high *end*,before
214,silver,and bonds rallied on his bond's price rose nearly 1,unspecified
215,silver,central bank cut rates and rates and hinted that it,unspecified
216,silver,*start*  declined to 51 1% in december from 53,unspecified
217,silver,*start*  place a pool the funds generate a predictable,before
218,silver,*start* in 2005 *end* *end* *start*  finishing the year,overlap
219,silver,the dollar surged *end* *end* mortgages are reaching four year,unspecified
220,silver,has been firing on all become the envy of the,overlap
221,silver,*start* bernanke shows signs of fed's chairman from 1987 to 2006 *end* *end*,after
222,silver,financial package assembled earlier in package assembled earlier in the week by the,overlap
223,silver,all investors needed to sell which many saw as a,unspecified
224,silver,and employment in december *end* *end* industrial economy slows in december,unspecified
225,silver,*start*  finishing the year finishing the year down 0,unspecified
226,silver,*start* avidly checking up on asian markets suffered staggering declines,unspecified
227,silver,*start* in 2005 *end* *end* of its 109-year history *end*,unspecified
228,silver,and since the start of may *end* *end* have all cut rates--between them,before
229,silver,it finished 2004 at 18 it's the lowest s&p 500,unspecified
230,silver,money for the second consecutive year *end* *end* company's creditor shut homer's five,unspecified
231,silver,august decline followed a revised decrease in july to a,unspecified
232,silver,000-unit rate this year *end* *end* "a small surge " in,unspecified
233,silver,pace in a year *end* *end* *start* analysts predicted they could,unspecified
234,silver,) was expected to vote republicans after winning what he,before
235,silver,one-percentage-point reduction last year -- from -- is nothing to sneeze,unspecified
236,silver,*start* has rolled out its *start* they range from giving,unspecified
237,silver,japan almost equaled france in *start* japan had the advantage,overlap
238,silver,immigrant father founded the company company in 1912 with four,overlap
239,silver,productivity center said in its *start* was less than that,after
240,silver,sagged in the past few weeks *end* *end* stocks have sagged in the,overlap
241,silver,these differences produce varying yields funds are looked at as,unspecified
242,silver,is still down about 50% 06 in january *end* *end*,unspecified
243,silver,stocks higher yesterday *end* *end* european markets set highs *end*,unspecified
244,silver,san francisco since 2004 *end* *end* *start*  told the senate,unspecified
245,silver,the funds generate a predictable format that gives investors easy,unspecified
246,silver,comments on sunday from china's the government wants slower economic,toText
247,silver,investors recently poured in *end* news to trigger broadbased profit-taking,unspecified
248,silver,*start* admitted yesterday that he *start* *start* yesterday *end* *end*,unspecified
249,silver,treasury will retain 80% of right and share the remaining,unspecified
250,silver,having to pay more for fed has raised rates in,unspecified
251,silver,*start* strunk surveys a group selling portfolio gained 12 *end*,unspecified
252,silver,*start* investors snapped up commodities set another record and briefly,unspecified
253,silver,the stock decline is "not *start* " said james f,unspecified
254,silver,36 yen late friday *end* *end* the euro slid to 99,after
255,silver,south africa rose 2% *end* european markets rose 0 *end*,unspecified
256,silver,as a surge in oil over the turmoil in the,overlap
257,silver,may yet scotch talk of become more dovish *end* *end*,unrealized
258,silver,"when you look at spending consumers have pulled back *end*,before
259,silver,*start* *start* designed by some these investments use different strategies,before
260,silver,are not unaffected by economic economic growth means increased earnings,unspecified
261,silver,government to end corporate pork-barrel taking a moral stand *end* *end*,unspecified
262,silver,stocks have sagged in the dell has proved surprisingly robust,overlap
263,silver,*start* 5% lower *end* *end* *start* comments on sunday from china's,unspecified
264,silver,*start* 8% rise in the south africa rose 2% *end*,unspecified
265,silver,*start* " said bob lynch *start* "the impact [the microsoft,unspecified
266,silver,home-sales activity depends on interest "i don't see much promise,unspecified
267,silver,a statement thursday *end* *end* *start* " today *end* *end*,unspecified
268,silver,billion in the next three years *end* *end* *start*  backed away from,unspecified
269,silver,is being eroded *end* *end* *start*  since 1976 annual gdp,unspecified
270,silver,*start* prices continued to fall *start*  indicates whether various,overlap
271,silver,half of march *end* *end* reporting period ended march 14,unspecified
272,silver,and then overnight in tokyo *start* they noted that a,unspecified
273,silver,program have pushed yields sharply have broadly tracked treasurys *end*,unspecified
274,silver,*start* since july 2, 1997 when thailand the baht float *end* *end*,overlap
275,silver,would probably prefer to put to put the past 12 months well behind,unspecified
276,silver,have to think out of try to break the gridlock,unspecified
277,silver,have been resilient *end* *end* *start*  steer clear of,unspecified
278,silver,the economy this year and into and into 2009 *end* *end*,unspecified
279,silver,*start* " said georges yared "when you look at spending,unspecified
280,silver,*start* 4% this month *end* *end* the best september since a,overlap
281,silver,index for may *end* *end* *start* announced friday *end* *end*,before
282,silver,corporations are sold using technobabble technobabble to camouflage unjustifiable investments,unrealized
283,silver,this is a definitive turning point for the its 30-year bull run *end* *end*,before
284,silver,out of business in the business in the first 10 months of last year *end* *end*,overlap
285,silver,growth over the next five years *end* *end* china is targeting lower growth,unrealized
286,silver,startling stock-market success *end* *end* has been firing on all,unspecified
287,silver,000 in april was better april was better than expected,overlap
288,silver,it closed friday at 70 *start* it closed friday at,overlap
289,silver,*start* strong gains by the market on tuesday helped to,unspecified
290,silver,savings were reduced in an ) was expected to vote,unspecified
291,silver,data released friday *end* *end* labor statistics reported that producer,unspecified
292,silver,historically has had two major *start*  maintaining financial stability,overlap
293,silver,activists are negotiating to try try to come up with,unrealized
294,silver,the president appeared at a *start*  conferred with mr,before
295,silver,*start* has dropped to 1 and since the start of may *end* *end*,unspecified
296,silver,*start* on friday *end* *end* s&p 500 closed at 16,after
297,silver,*start*  finishing the year a bit better *end* *end*,overlap
298,silver,september in 71 years *end* *end* the dow leapt 197 *end*,unspecified
299,silver,it's the lowest s&p 500 ratio in 10 years *end* *end*,overlap
300,silver,*start*  jolting emerging markets markets have felt the heat,overlap
301,silver,mostly lower early monday as a as a surge in oil,overlap
302,silver,*start* 000 last year *end* *end* sales should total about 665,after
303,silver,*start* announced friday *end* *end* *start* was unchanged *end* *end*,overlap
304,silver,small-capitalization stocks fell 7 *end* smallcap 600 shed 3 *end*,overlap
305,silver,prices amid continued worries over china is targeting lower growth,unspecified
306,silver,to grow in december *end* *end* purchasing agents indicated *end* *end*,unspecified
307,silver,that after increasing steadily during of poor reached a post-1965,after
308,silver,want to see foreign investors' *start* who leads the so-called,unspecified
309,silver,day's advances began in europe survey helped reassure investors that,before
310,silver,begun to trace *end* *end* who has served as president,unspecified
311,silver,april was better than expected were also revised upward *end*,after
312,silver,*start* it turned out in hillary clinton phoned in with,overlap
313,silver,strong demand thursday *end* *end* *start*  marked the largest,unspecified
314,silver,just as obsequious *end* *end* in force earlier this month to celebrate,overlap
315,silver,already and decided to sail *start* and pity the small,unspecified
316,silver,in force earlier this month to celebrate hillary clinton phoned in with,unspecified
317,silver,*start*  banned levies on *start* for the first two centuries of our,unspecified
318,silver,has ever owned a security security that defaulted *end* *end*,unrealized
319,silver,european markets rose 0 *end* *start* which closed up 2,unspecified
320,silver,*start* 35% lived in female-headed 10% were elderly ; 20%,overlap
321,silver,in a state of "heightened of higher inflation in weeks,unspecified
322,silver,april was better than expected *start* albeit prior months were also,unspecified
323,silver,dollars) in 1776 *end* *end* domestic product grew to $28,after
324,silver,*start* was less than that *start*  surpassed japan in,overlap
325,silver,*start* job creation must be *start* yellen appeared at a,unspecified
326,silver,certainly in pullback *end* *end* *start* " said georges yared,unspecified
327,silver,analysts who cited its recent recent sharp appreciation in price,before
328,silver,"a small surge " in rates in 1985 *end* *end*,unspecified
329,silver,there's good news and bad statistics for 1984 *end* *end*,unspecified
330,silver,small stocks fell as mounting economic worries pulled the plug,overlap
331,silver,but by making its own high fixed costs *end* *end*,unspecified
332,silver,investors initially sold technology stocks the dollar rebounded during the,before
333,silver,1% in august to a pace in a year *end* *end*,unspecified
334,silver,dell has proved surprisingly robust *start*  losing just 7,overlap
335,silver,*start* intel swooned 4 *end* investors recently poured in *end*,unspecified
336,silver,rate and lengthened the term action was aimed at restoring,overlap
337,silver,to be benign *end* *end* will probably trigger a rally,unspecified
338,silver,*start* further falls in inflation become more dovish *end* *end*,unspecified
339,silver,*start* congress faces extreme pressure *start* that requires even higher,unspecified
340,silver,exceeded the 1987 slide -- -- from august 25 to october,unspecified
341,silver,consumer spending later in the year *end* *end* consumer sentiment rose to 93,unspecified
342,silver,sales to drop modestly through *start* they disagree about next,unspecified
343,silver,economy is recovering *end* *end* sign of inflation *end* *end*,unspecified
344,silver,revenue growth in the second quarter *end* *end* net income rose by 10%,overlap
345,silver,complained that this week 's expiration expiration i've seen " in,unspecified
346,silver,fed is raising rates *end* *start*  according to james,unspecified
347,silver,increases was curtailed by a auto makers responded by fattening,unspecified
348,silver,pace in a year *end* *end* single-family homes fell 8 *end*,after
349,silver,stock market on tuesday helped to helped to propel european and,unspecified
350,silver,better buy today than they lot better buy today than,overlap
351,silver,arm on friday *end* *end* with a surge that put,unspecified
352,silver,this market needed *end* *end* companies are spending their money,unspecified
353,silver,billion was restored to student savings were reduced in an,overlap
354,silver,record levels reached in the allowed to offer competing "money,before
355,silver,bolder types concluded *end* *end* had been repealed by tremendous,before
356,silver,more-efficient vehicles raises worries about about job losses for its,unrealized
357,silver,had been repealed by tremendous *start*  justifying enormous leaps,overlap
358,silver,corporations' productivity lags behind their productivity center said in its,before
359,silver,*start* 000 last year *end* *end* *start*  saying that next,unspecified
360,silver,have now turned positive *end* more volatility lies ahead *end*,unspecified
361,silver,elsewhere could help the dollar as japan readies for its,unspecified
362,silver,and manufacturers lagged behind *end* but don't assume that portfolio,unspecified
363,silver,*start*  maintaining financial stability *start*  controlling inflation while,overlap
364,silver,lot better buy today than better buy today than they,overlap
365,silver,still has wound up with time since 1966 (except *end*,unspecified
366,silver,stock is right now *end* *end* company has proposed an initial,unspecified
367,silver,misguided to see the gyrations see the gyrations of the,unspecified
368,silver,are often known by euphemisms americans are compelled to pay,unspecified
369,silver,rally on friday *end* *end* *start*  admitted yesterday that,unspecified
370,silver,*start* analysts say investors initially investors initially sold technology stocks,before
371,silver,is still down about 50% 06 in january *end* *end*,overlap
372,silver,going to tumble into a certainly in pullback *end* *end*,unspecified
373,silver,while italy rose 0 *end* and switzerland slid 0 *end*,unspecified
374,silver,s&p 500 closed at 16 *start* it finished 2004 at,unspecified
375,silver,ahead of today's options expirations bond market led to a,unspecified
376,silver,industrial average rose about 62 *start* *start* late monday *end* *end*,unspecified
377,silver,might yet push the rate german yields hit a record,unrealized
378,silver,mortgages are reaching four year starting to generate fear among,unspecified
379,silver,rally on friday *end* *end* stock average dropped 121 points,after
380,silver,continue to suggest a soft have been falling *end* *end*,unspecified
381,silver,can be slowed by interest-rate smaller businesses face the prospect,unspecified
382,silver,and employment in december *end* *end* its members reported a decline,overlap
383,silver,effort to win passage of used to restore proposed cuts,unspecified
384,silver,economic data a few hours later showed companies hours later showed companies spending,unspecified
385,silver,on tuesday helped to propel helped to propel european and,unrealized
386,silver,*start* said yesterday *end* *end* *start* "i've seen profit-taking *end*,unspecified
387,silver,after mild fluctuations *end* *end* major currencies ended little changed,after
388,silver,is no exception *end* *end* of interest seems exceptional even,unspecified
389,silver,funds have enjoyed a resurgence of popularity this year *end* *end*,overlap
390,silver,2% in april *end* *end* inflation is estimated at 1,overlap
391,silver,employment in december *end* *end* *start* for the 13th consecutive month *end* *end*,overlap
392,silver,republicans after winning what he the aide said *end* *end*,unspecified
393,silver,stocks in the past year *end* *end* been the highest-flying of the,overlap
394,silver,a bit better *end* *end* *start*  drew yawns rather,unspecified
395,silver,*start*  survived two world homer's couldn't survive the current,unspecified
396,silver,*start*  seven-year issue *end* *start* was well-received *end* *end*,unspecified
397,silver,basis in october from the october from the month before *end* *end*,before
398,silver,are under way to work activists are negotiating to try,overlap
399,silver,market after its 30-year bull run *end* *end* are becoming hypersensitive to the,before
400,silver,stocks from friday prompted profit-taking from friday prompted profit-taking in,unspecified
401,silver,people start acting on that to be happening in hot,unspecified
402,silver,it finished 2004 at 18 500 p/e ratio in 10,unspecified
403,silver,monetary fund said *end* *end* economy is now entering a,unspecified
404,silver,banks would use the window -- to lend to solid,unspecified
405,silver,composite index fell about 160 industrial average rose about 62,overlap
406,silver,sales should total about 665 000 for all 1984 *end* *end*,unspecified
407,silver,had in past years *end* *end* bolder types concluded *end* *end*,after
408,silver,complicated than assemble computers and computers and mail them to,overlap
409,silver,after the 1987 stock-market crash *start* on aug. 17 *end* *end*,unspecified
410,silver,dollars) in 1776 *end* *end* *start* but today the american,unspecified
411,silver,*start*  admitted yesterday that *start* admitted yesterday that he,unspecified
412,silver,borrow and sell them *end* more investors expect a downturn,unspecified
413,silver,continued to drift on dollar *start*  seven-year issue *end*,unspecified
414,silver,as mayor last year *end* *end* new yorkers elected bill de,overlap
415,silver,industrial production rose for the rose for the fourth straight month in october,unspecified
416,silver,and would step away from *start* *start* yesterday *end* *end*,unspecified
417,silver,incentives on 2004 car models models in october while california,unspecified
418,silver,to be happening in hot buyers are justifying heavy debt,overlap
419,silver,a severe toughening of the them are concluding *end* *end*,unspecified
420,silver,taxing and spending to support *start* industry creates a vicious,unspecified
421,silver,investors are having a similar *start* is taking a more,unspecified
422,silver,*start* "i've seen profit-taking *end* i've also seen some aggressive,unspecified
423,silver,importance of fighting a weak *start*  indicating support for,unspecified
424,silver,*start* optimists saw it as bolder types concluded *end* *end*,overlap
425,silver,videogame makers powered up after game unit agreed to a,after
426,silver,1% in december from 53 *start*  declined to 51,overlap
427,silver,reserve might wind down its program have pushed yields sharply,unspecified
428,silver,decision to stand behind and behind and restructure this company,unspecified
429,silver,them are concluding *end* *end* get substantial improvement in the,unrealized
430,silver,*start* just a few months after upgrading months after upgrading its global,before
431,silver,stability is one *end* *end* were so intertwined as to,unspecified
432,silver,bernanke was nominated to head reserve in 2005 *end* *end*,unspecified
433,silver,concentrated in the last few days leading up michael schwartz said that a,unspecified
434,silver,-- from august 25 to october 25 to october 19 *end* *end*,after
435,silver,be principal losses in a should be aware of how,unspecified
436,silver,*start* " said david littman consumer spending later in the year *end* *end*,unspecified
437,silver,*start*  told the senate *start* yellen appeared at a,unspecified
438,silver,were also revised upward *end* germany is welcome *end* *end*,before
439,silver,news about last year 's flat *start* in 2005 *end* *end*,unspecified
440,silver,81 cents late friday in new the euro slid to 99,unspecified
441,silver,to become aware of the has ever owned a security,unspecified
442,silver,markets have crumbled *end* *end* *start*  jolting emerging markets,overlap
443,silver,the company earlier this year pegged its company has proposed an initial,after
444,silver,strategists frequently complain that expiration *start* they say that this,unspecified
445,silver,action was aimed at restoring primarily at boosting growth *end*,overlap
446,silver,*start* *start* today *end* *end* *start* just a few weeks later *end* *end*,overlap
447,silver,of popularity this year *end* *end* may never return to the,unspecified
448,silver,*start* has benefited short sellers sellers who placed well-timed bets,toText
449,silver,policies that ensure that our our economy accelerates its progress,unspecified
450,silver,the weakest level since 2002 level since 2002 and near,before
451,silver,tim geithner said in a a statement thursday *end* *end*,overlap
452,silver,a pleasant surprise *end* *end* increases also indicates inflation isn't,overlap
